vehicle,category,pool
2880,Vagn,UB2K
2881,Vagn,UB2K
2882,Vagn,UB2K
2901,Vagn,URB2A
2902,Vagn,URB2A
2903,Vagn,URB2A
2904,Vagn,URB2A
2905,Vagn,UB2
2906,Vagn,URB2A
2907,Vagn,URB2A
2908,Vagn,URB2A
2909,Vagn,UB2
2910,Vagn,UB2K
2911,Vagn,UB2
2912,Vagn,URB2KA
2913,Vagn,URB2KA
2914,Vagn,URB2KA
2915,Vagn,URB2A
2916,Vagn,URB2A
2917,Vagn,URB2A
2918,Vagn,URB2A
2919,Vagn,URB2KA
2920,Vagn,URB2KA
2921,Vagn,URB2KA
3477,Vagn,BC2
3478,Vagn,BC2
3482,Vagn,BC2
3486,Vagn,BC2
3488,Vagn,BC2
3490,Vagn,BC2
3492,Vagn,BC2
3501,Vagn,X40Z3
3502,Vagn,BC2DE
3502,Vagn,X40Z3
3503,Vagn,BC2DE
3503,Vagn,X40Z3
3504,Vagn,X40Z3
3505,Vagn,X40Z3
3506,Vagn,X40Z3
3507,Vagn,X40Z3
3508,Vagn,X40Z3
3509,Vagn,X40Z3
3510,Vagn,X40Z3
3511,Vagn,X40Z3
3512,Vagn,X40Z3
3513,Vagn,X40Z3
3514,Vagn,BC2
3514,Vagn,X40Z3
3515,Vagn,X40Z3
3516,Vagn,X40Z3
3517,Vagn,BC2
3517,Vagn,X40Z3
3518,Vagn,BC2DE
3518,Vagn,X40Z3
3519,Vagn,X40Z3
3520,Vagn,X40Z3
3521,Vagn,X40Z3
3522,Vagn,BC2
3522,Vagn,X40Z3
3523,Vagn,X40Z3
3524,Vagn,BC2
3524,Vagn,X40Z3
3525,Vagn,X40Z3
3526,Vagn,X40Z3
3527,Vagn,X40Z3
3531,Vagn,BC2
3561,Vagn,BC2
3565,Vagn,BC2
3566,Vagn,BC2
3575,Vagn,BC2
3585,Vagn,BC2
3596,Vagn,BC2
3597,Vagn,BC2
3701,Vagn,X40Z5
3702,Vagn,X40Z5
3703,Vagn,X40Z5
3704,Vagn,X40Z5
3705,Vagn,X40Z5
3706,Vagn,X40Z5
3707,Vagn,X40Z5
3708,Vagn,X40Z5
3709,Vagn,X40Z5
3710,Vagn,X40Z5
3711,Vagn,X40Z5
3712,Vagn,X40Z5
3713,Vagn,X40Z5
3714,Vagn,X40Z5
3715,Vagn,X40Z5
3716,Vagn,X40Z5
3717,Vagn,X40Z5
3718,Vagn,X40Z5
3719,Vagn,X40Z5
3720,Vagn,X40Z5
3721,Vagn,X40Z5
3722,Vagn,X40Z5
3723,Vagn,X40Z5
3724,Vagn,X40Z5
3725,Vagn,X40Z5
3726,Vagn,X40Z5
3727,Vagn,X40Z5
3728,Vagn,X40Z5
3729,Vagn,X40Z5
3730,Vagn,X40Z5
3731,Vagn,X40Z5
3732,Vagn,X40Z5
3733,Vagn,X40Z5
3734,Vagn,X40Z5
3735,Vagn,X40Z5
3736,Vagn,X40Z5
3737,Vagn,X40Z5
3738,Vagn,X40Z5
3739,Vagn,X40Z5
3740,Vagn,X40Z5
3741,Vagn,X40Z5
3742,Vagn,X40Z5
3743,Vagn,X40Z5
3788,Vagn,BC2DE
3793,Vagn,BC2DE
3799,Vagn,BC2
3800,Vagn,BC2DE
3922,Vagn,BC2
3924,Vagn,BC2
3926,Vagn,BC2
3967,Vagn,BC2DE
3970,Vagn,BC2DE
3971,Vagn,BC2DE
3981,Vagn,BC2DE
4003,Vagn,BC2
4012,Vagn,BC2K
4026,Vagn,BC2K
4032,Vagn,BC2K
4053,Vagn,BC2K
4087,Vagn,BC2
4088,Vagn,BC2K
4089,Vagn,BC2AK
4090,Vagn,BC2K
4442,Vagn,BC2K
4445,Vagn,BC2K
4597,Vagn,WL5DE
4605,Vagn,WL5DE
4608,Vagn,WL5DE
4639,Vagn,WL5DE
4646,Vagn,WL5KM
4660,Vagn,WL5DE
4672,Vagn,WL5DE
